,genus,species,NCBI tax ID,motility,gram stain,range,optimum,GC-content,oxygen tolerance,Total samples,soil counts,aquatic counts,plant counts,metabolite,is antibiotic,is resistant
0,Porphyromonas,Porphyromonas bennonis,"[1122971, 1122971, 1122971, 1122971, 1122971, 1122971, 562, 1280]",,negative,37,,"['58.0', '56.3', '58']","['anaerobe', 'anaerobe', 'anaerobe']",,,,,,,
0,Porphyromonas,Porphyromonas somerae,"[1122975, 1122975, 1122975, 562]",,,37,,47.1,"['anaerobe', 'anaerobe']",36106.0,771.0,822.0,155.0,,,
0,Porphyromonas,Porphyromonas uenonis,"[1122976, 1122976, 1122976, 1122976, 1122976, 1122976, 470, 562]",,,37,,"['52.5', '52.5']","['anaerobe', 'anaerobe']",6885.0,65.0,50.0,3.0,,,
0,Porphyromonas,Porphyromonas catoniae,"[887901, 887901, 887901, 470]",,,37,,"['49', '51.0']","['anaerobe', 'anaerobe']",19171.0,334.0,354.0,130.0,,,
0,Porphyromonas,Porphyromonas endodontalis,"[553175, 28124, 28124, 553175, 28124, 553175, 28124, 1313, 1639, 90371, 562, 287, 470, 1773]",,,37,,"['47.5', '49.6']","['anaerobe', 'anaerobe']",,,,,,,
0,Porphyromonas,Porphyromonas levii,"[1122973, 1122973, 1122973, 1639]",,,37,,"['46', '45.7', '45-46', '46-48']",anaerobe,8580.0,894.0,607.0,148.0,,,
0,Porphyromonas,Porphyromonas gulae,"[1122972, 1122972, 1122972, 1280]",,,37,,"['51', '48.6', '51']","['anaerobe', 'anaerobe']",7546.0,129.0,62.0,45.0,,,
0,Porphyromonas,Porphyromonas gingivalis,"[431947, 431947, 431947, 431947, 837, 431947, 431947, 431947, 431947, 1773, 562, 562]",,,37,,"['47.1', '48.4', '47.1']",anaerobe,35027.0,1092.0,1398.0,451.0,,,
0,Porphyromonas,Porphyromonas asaccharolytica,"[879243, 879243, 879243, 879243, 287]",,['negative'],37,,"['52.1', '52.5', '53']","['anaerobe', 'anaerobe']",14984.0,179.0,178.0,21.0,,,
0,Porphyromonas,Porphyromonas macacae,"[1122974, 1122974, 28115, 1122974, 28115, 1122974, 1122974, 1122974, 28115, 470, 562, 244328]",,,37,,"['43.7', '43.7']","['anaerobe', 'anaerobe']",,,,,,,
0,Paraprevotella,Paraprevotella xylaniphila,"[762982, 762982, 762982, 762982, 762982, 762982, 470, 1352]",no,negative,37,,"['49.0', '49', '49']","['anaerobe', 'anaerobe']",36270.0,297.0,1546.0,93.0,,,
0,Paraprevotella,Paraprevotella clara,"[762968, 762968, 762968, 573]",no,negative,37,,"['48.1', '48.1']","['anaerobe', 'anaerobe']",3548.0,3.0,10.0,2.0,,,
0,Prevotella,Prevotella denticola,,,,,,,,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella buccalis,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella sp.,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella amnii,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella pallens,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella disiens,,,,,,,,,,,,,,
0,Prevotella,Prevotella intermedia,,,,,,,,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,,,,,,,,
0,Prevotella,Prevotella sp.,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,,,,,,,,
0,Prevotella,Prevotella intermedia,,,,,,,,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,,,,,,,,
0,Prevotella,Prevotella denticola,,,,,,,,,,,,,,
0,Prevotella,Prevotella timonensis,,,,,,,,,,,,,,
0,Prevotella,Prevotella melaninogenica,,,,,,,,,,,,,,
0,Prevotella,Prevotella nigrescens,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella nigrescens,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella intermedia,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella intermedia,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella intermedia,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella nigrescens,,,,,,,,,,,,,,
0,Prevotella,Prevotella melaninogenica,,,,,,,,,,,,,,
0,Prevotella,Prevotella intermedia,,,,,,,,,,,,,,
0,Prevotella,Prevotella intermedia,,,,,,,,,,,,,,
0,Prevotella,Prevotella intermedia,,,,,,,,,,,,,,
0,Prevotella,Prevotella intermedia,,,,,,,,,,,,,,
0,Prevotella,Prevotella nigrescens,,,,,,,,,,,,,,
0,Prevotella,Prevotella intermedia,,,,,,,,,,,,,,
0,Prevotella,Prevotella nigrescens,,,,,,,,,,,,,,
0,Prevotella,Prevotella intermedia,,,,,,,,,,,,,,
0,Prevotella,Prevotella nigrescens,,,,,,,,,,,,,,
0,Prevotella,Prevotella buccae,,,,,,,,,,,,,,
0,Prevotella,Prevotella nigrescens,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella dentalis,"[908937, 908937, 908937, 908937, 908937, 908937, 908937, 908937, 908937, 573, 470, 287, 244328]",,,37,,"['58.6', '55.9', '56-60']",anaerobe,18324.0,230.0,247.0,99.0,,,
0,Prevotella,Prevotella timonensis,,,,,,,,,,,,,,
0,Prevotella,Prevotella timonensis,,,,,,,,,,,,,,
0,Prevotella,Prevotella brevis,"[1408472, 1408472, 1408472, 244328]",,,,,,,,,,,,,
0,Prevotella,Prevotella enoeca,"[1235815, 1235815, 1235815, 573]",,,37,,"['47', '47.5']",,15249.0,191.0,154.0,59.0,,,
0,Prevotella,Prevotella melaninogenica,,,,,,,,,,,,,,
0,Prevotella,Prevotella massiliensis,,,,,,,,,,,,,,
0,Prevotella,Prevotella pleuritidis,"[1236494, 1236494, 1236494, 1280]",no,negative,37,,"['45.4', '45.4']","['anaerobe', 'anaerobe']",16402.0,116.0,188.0,86.0,,,
0,Prevotella,Prevotella aurantiaca,"[1236508, 1236508, 1236508, 90371]",no,,37,,"['39.7', '39.7']","['anaerobe', 'anaerobe']",11788.0,67.0,139.0,103.0,,,
0,Prevotella,Prevotella colorans,"[1703337, 1703337, 1703337, 573]","['no', 'no']","['negative', 'negative']",37,35-37,"['43.2', '43.2']","['obligate anaerobe', 'anaerobe', 'anaerobe']",,,,,"['colistin', 'vancomycin']","['yes', 'yes']","['yes', 'yes']"
0,Prevotella,Prevotella jejuni,"[1177574, 1177574, 1177574, 470]","['no', 'no']","['negative', 'negative']",37,37,"['41.7', '41.7', '41.7']","['anaerobe', 'anaerobe', 'anaerobe', 'anaerobe']",7826.0,64.0,55.0,51.0,,,
0,Prevotella,Prevotella jejuni,,,,,,41.8,anaerobe,7826.0,64.0,55.0,51.0,,,
0,Prevotella,Prevotella histicola,,,,,,,anaerobe,84211.0,1242.0,1647.0,518.0,,,
0,Prevotella,Prevotella melaninogenica,"[287, 1280, 1313]",,,,,,anaerobe,36993.0,254.0,495.0,170.0,,,
0,Prevotella,Prevotella scopos,"[1236518, 1236518, 1236518, 1236518, 1236518, 1236518, 1236518, 1236518, 1236518, 1236518, 1236518, 1236518, 573, 573, 1313, 244328, 244328]",,,37,,,"['anaerobe', 'anaerobe']",33756.0,331.0,484.0,88.0,,,
0,Prevotella,Prevotella fusca,"[1236517, 1236517, 1236517, 1236517, 1236517, 1236517, 1236517, 287, 562]",,,37,,43,"['anaerobe', 'anaerobe']",4089.0,103.0,33.0,34.0,,,
0,Prevotella,Prevotella saccharolytica,"[1236516, 1236516, 1236516, 1639]",['no'],"['negative', 'negative']",37,35,"['44', '44']","['anaerobe', 'anaerobe', 'anaerobe']",18196.0,241.0,239.0,74.0,,,
0,Prevotella,Prevotella dentasini,"[1236509, 1236509, 1236509, 562]",['no'],"['negative', 'negative']",37,37,"['50.2', '50.2']","['anaerobe', 'anaerobe']",18702.0,87.0,80.0,54.0,,,
0,Prevotella,Prevotella micans,"[1122987, 1122987, 1122987, 1122987, 1122987, 1122987, 90371, 1639]","['no', 'no']","['negative', 'negative']",37,,"['46', '46', '46.0']","['anaerobe', 'anaerobe', 'anaerobe', 'anaerobe']",32820.0,268.0,453.0,127.0,,,
0,Prevotella,Prevotella falsenii,"[1122983, 1122983, 1122983, 1313]",['no'],"['negative', 'negative']",37,,"['45.2', '45.2']","['anaerobe', 'anaerobe', 'anaerobe']",3109.0,21.0,17.0,10.0,,,
0,Prevotella,Prevotella amnii,"[1122979, 1122979, 1122979, 1122979, 1122979, 1122979, 1313, 573]",['no'],"['negative', 'negative']",37,,36.6,"['anaerobe', 'anaerobe', 'anaerobe']",41878.0,340.0,589.0,149.0,,,
0,Prevotella,Prevotella histicola,,,,,,,anaerobe,84211.0,1242.0,1647.0,518.0,,,
0,Prevotella,Prevotella histicola,"[1236504, 1236504, 1236504, 1280]",no,negative,37,37,"['43', '43', '41.2']","['anaerobe', 'anaerobe', 'anaerobe']",84211.0,1242.0,1647.0,518.0,,,
0,Prevotella,Prevotella paludivivens,,,,30,,,anaerobe,,,,,,,
0,Prevotella,Prevotella paludivivens,"[1122990, 1122990, 1122990, 1122990, 1122990, 1122990, 287, 1313]",no,negative,30,30,"['39.2', '37.3', '39.2']","['anaerobe', 'anaerobe']",20621.0,284.0,2106.0,120.0,,,
0,Prevotella,Prevotella maculosa,"[1122986, 1122986, 1122986, 1122986, 1122986, 1122986, 90371, 1280]",no,negative,37,,"['48', '48']","['anaerobe', 'anaerobe', 'anaerobe']",17153.0,188.0,232.0,57.0,,,
0,Prevotella,Prevotella timonensis,"[1122992, 1122992, 1122992, 1122992, 1122992, 1122992, 1122992, 1122992, 1122992, 1280, 562, 1773]",no,negative,37,37,42.4,"['anaerobe', 'anaerobe', 'anaerobe']",103091.0,1601.0,2334.0,689.0,,,
0,Prevotella,Prevotella nanceiensis,"[1122988, 1122988, 1122988, 1122988, 1122988, 1122988, 470, 470]",no,negative,37,,"['39.4', '38.4', '39.4']","['anaerobe', 'anaerobe', 'anaerobe']",108339.0,2475.0,2360.0,723.0,,,
0,Prevotella,Prevotella veroralis,"[1122993, 1122993, 1122993, 1122993, 1122993, 1122993, 287, 573]",,,37,,42.1,"['anaerobe', 'anaerobe']",,,,,,,
0,Prevotella,Prevotella loescheii,"[1122985, 1122985, 1122985, 1122985, 1122985, 1122985, 1122985, 1773, 1639, 1280]",,,37,,46.6,"['anaerobe', 'anaerobe']",27850.0,377.0,404.0,102.0,,,
0,Prevotella,Prevotella corporis,"[1122981, 1122981, 1122981, 1122981, 1122981, 1122981, 1280, 90371]",,,37,,44.1,anaerobe,23573.0,154.0,241.0,118.0,,,
0,Prevotella,Prevotella oris,"[28135, 1122989, 1122989, 28135, 1122989, 1122989, 1122989, 1122989, 28135, 90371, 1773, 244328]",,,37,,43.8,"['anaerobe', 'anaerobe']",1716.0,14.0,7.0,5.0,,,
0,Prevotella,Prevotella pallens,"[997353, 60133, 997353, 60133, 997353, 60133, 90371, 1313]",,,37,,37.4,"['anaerobe', 'anaerobe']",66183.0,1018.0,1248.0,489.0,,,
0,Prevotella,Prevotella stercorea,"[1002367, 1002367, 1002367, 562]",no,negative,37,37,"['48.2', '48.2']","['anaerobe', 'anaerobe', 'anaerobe']",22313.0,191.0,437.0,63.0,,,
0,Prevotella,Prevotella copri,"[537011, 537011, 537011, 537011, 537011, 165179, 537011, 537011, 537011, 165179, 1313, 1639, 287, 90371, 562, 1280, 1313, 1773]",no,negative,37,37,"['45.3', '44.8', '45.3']","['anaerobe', 'anaerobe', 'anaerobe']",,,,,,,
0,Prevotella,Prevotella oryzae,,,,30,,"['43.6', '43.6']",anaerobe,,,,,,,
0,Prevotella,Prevotella oryzae,"[915438, 915438, 915438]",,,30,,"['43.6', '43.6']",anaerobe,11438.0,152.0,2408.0,62.0,,,
0,Prevotella,Prevotella bergensis,"[585502, 585502, 585502, 562]",no,negative,37,,"['48', '48']","['anaerobe', 'anaerobe', 'anaerobe']",40550.0,243.0,305.0,111.0,,,
0,Prevotella,Prevotella multisaccharivorax,"[688246, 688246, 688246, 688246, 688246, 1280, 562, 1639, 1773, 1313, 287]",no,negative,37,,"['49.9', '48.3', '49.9']","['anaerobe', 'anaerobe']",9526.0,71.0,179.0,50.0,,,
0,Prevotella,Prevotella marshii,"[862515, 862515, 862515, 862515, 862515, 862515, 287, 1313]",no,negative,37,,"['51', '47.5', '51']","['anaerobe', 'anaerobe', 'anaerobe']",17701.0,112.0,210.0,102.0,,,
0,Prevotella,Prevotella baroniae,"[1122980, 1122980, 1122980, 1122980, 1122980, 1122980, 287, 573]",no,negative,37,,"['52', '52', '53.0']","['anaerobe', 'anaerobe', 'anaerobe']",17285.0,346.0,205.0,127.0,,,
0,Prevotella,Prevotella multiformis,"[888743, 888743, 888743, 244328]",['no'],"['negative', 'negative']",37,,"['51.1', '51.1']","['anaerobe', 'anaerobe', 'anaerobe']",20730.0,243.0,396.0,113.0,,,
0,Prevotella,Prevotella shahii,"[1122991, 1122991, 1122991, 1122991, 1122991, 1122991, 562, 470]",no,negative,37,,"['44.3', '44.3']","['anaerobe', 'anaerobe', 'anaerobe']",20678.0,217.0,149.0,76.0,,,
0,Prevotella,Prevotella salivae,"[888832, 888832, 888832, 470]",no,negative,37,,"['41.3', '41.3']","['anaerobe', 'anaerobe', 'anaerobe']",,,,,,,
0,Prevotella,Prevotella nigrescens,"[28133, 997352, 997352, 28133, 28133, 28133, 997352, 562, 90371, 1639, 1639, 1280, 1639, 1773]",,,37,,"['42.5', '42.6', '42.5']","['anaerobe', 'anaerobe']",75740.0,1204.0,1593.0,518.0,,,
0,Prevotella,Prevotella bryantii,"[77095, 752555, 752555, 752555, 752555, 77095, 752555, 752555, 752555, 562, 1313, 470, 1313, 1773, 1280, 573, 244328]",,,37,,39.1,anaerobe,23526.0,406.0,489.0,441.0,,,
0,Prevotella,Prevotella albensis,"[1122978, 1122978, 1122978, 1122978, 1122978, 1122978, 287, 562]",,,37,,41.2,"['anaerobe', 'anaerobe']",8477.0,66.0,61.0,123.0,,,
0,Prevotella,Prevotella melaninogenica,"[553174, 553174, 553174, 553174, 553174, 470, 470, 573, 244328]",,,37,,41.0,"['anaerobe', 'anaerobe']",36993.0,254.0,495.0,170.0,,,
0,Prevotella,Prevotella oralis,"[873533, 28134, 873533, 28134, 873533, 28134, 287, 573]",,,37,,"['43.1', '44.5', '45']","['anaerobe', 'anaerobe']",23165.0,214.0,256.0,117.0,,,
0,Prevotella,Prevotella intermedia,"[1122984, 1122984, 1122984, 1122984, 28131, 28131, 1122984, 1122984, 28131, 1122984, 1122984, 1122984, 1122984, 28131, 90371, 1280, 470, 244328, 244328]",,['negative'],37,,"['43.3', '44.2', '43.3']","['anaerobe', 'anaerobe']",66903.0,1452.0,1863.0,637.0,,,
0,Prevotella,Prevotella disiens,"[1235811, 1235811, 28130, 28130, 1235811, 1235811, 1235811, 1235811, 28130, 1639, 90371, 1313]",,,37,,"['40.0', '40']","['anaerobe', 'anaerobe']",57720.0,815.0,844.0,321.0,,,
0,Prevotella,Prevotella denticola,"[28129, 1122982, 1122982, 1122982, 1122982, 28129, 28129, 1122982, 1122982, 1280, 90371, 287]",,,37,,"['51.0', '50.1', '51']","['anaerobe', 'anaerobe']",44452.0,428.0,609.0,330.0,,,
0,Prevotella,Prevotella buccalis,"[679190, 679190, 679190, 679190, 470, 573, 562]",,,37,,"['46.0', '51']","['anaerobe', 'anaerobe']",65402.0,904.0,675.0,175.0,,,
0,Prevotella,Prevotella buccae,,,,,,51.0,anaerobe,,,,,,,
0,Prevotella,Prevotella buccae,"[873513, 873513, 873513, 90371]",,,37,,"['51.0', '50']","['anaerobe', 'anaerobe']",44089.0,397.0,875.0,173.0,,,
0,Prevotella,Prevotella bivia,"[868129, 553171, 868129, 868129, 90371]",,,37,,"['40.0', '40']","['anaerobe', 'anaerobe']",92490.0,1096.0,1913.0,553.0,,,
0,Prevotella,Prevotella copri,165179,,,,,,,,,,,,,
0,Prevotella,Prevotella copri,165179,,,,,,,,,,,,,
0,Prevotella,Prevotella copri,165179,,,,,,,,,,,,,
0,Prevotella,Prevotella copri,165179,,,,,,,,,,,,,
0,Prevotella,Prevotella copri,,,,,,,,,,,,,,
0,Prevotella,Prevotella copri,165179,,,,,,,,,,,,,
0,Prevotella,Prevotella copri,165179,,,,,,,,,,,,,
0,Prevotella,Prevotella copri,165179,,,,,,,,,,,,,
0,Prevotella,Prevotella copri,165179,,,,,,,,,,,,,
0,Prevotella,Prevotella copri,165179,,,,,,,,,,,,,
0,Prevotella,Prevotella copri,165179,,,,,,,,,,,,,
0,Prevotella,Prevotella illustrans,2800387,,,,,,,,,,,,,
0,Prevotella,Prevotella lacticifex,"[2854755, 287, 573, 573, 244328, 244328]",,,,,,,,,,,,,
0,Prevotella,Prevotella herbatica,2801997,,,,,,,,,,,,,
0,Prevotella,Prevotella brunnea,"[2508867, 2508867]",no,negative,45,,44,obligate anaerobe,8715.0,63.0,116.0,20.0,,,
0,Prevotella,Prevotella ruminicola,"[839, 839, 839, 287]",,,,,49.2,,,,,,,,
0,Prevotella,Prevotella denticola,,,,,,50.5,,44452.0,428.0,609.0,330.0,,,
0,Prevotella,Prevotella sp.,,,,,,43.1,,17996.0,91.0,154.0,73.0,,,
0,Prevotella,Prevotella disiens,,,,,,,,57720.0,815.0,844.0,321.0,,,
0,Prevotella,Prevotella bivia,,,,,,40,,92490.0,1096.0,1913.0,553.0,,,
0,Prevotella,Prevotella sp.,,,,,,42.8,,17996.0,91.0,154.0,73.0,,,
0,Prevotella,Prevotella melaninogenica,,,,,,,,36993.0,254.0,495.0,170.0,,,
0,Prevotella,Prevotella melaninogenica,,,,,,,,36993.0,254.0,495.0,170.0,,,
0,Prevotella,Prevotella koreensis,2490854,,,,,43.9,,8076.0,106.0,166.0,63.0,,,
0,Prevotella,Prevotella hominis,"[2518605, 2518605, 2518605, 1280]",,,,,42.9,,,,,,,,
0,Prevotella,Prevotella aurantiaca,,,,,,41,,11788.0,67.0,139.0,103.0,,,
0,Prevotella,Prevotella falsenii,,,,,,44.6,,3109.0,21.0,17.0,10.0,,,
0,Prevotella,Prevotella falsenii,,,,,,44.7,,3109.0,21.0,17.0,10.0,,,
0,Prevotella,Prevotella falsenii,,,,,,45.9,,3109.0,21.0,17.0,10.0,,,
0,Prevotella,Prevotella falsenii,,,,,,44.7,,3109.0,21.0,17.0,10.0,,,
0,Prevotella,Prevotella falsenii,,,,,,46,,3109.0,21.0,17.0,10.0,,,
0,Prevotella,Prevotella falsenii,,,,,,47.7,,3109.0,21.0,17.0,10.0,,,
0,Prevotella,Prevotella falsenii,,,,,,44.9,,3109.0,21.0,17.0,10.0,,,
0,Prevotella,Prevotella copri,,,,,,,,,,,,,,
0,Prevotella,Prevotella copri,,,,,,,,,,,,,,
0,Prevotella,Prevotella copri,,,,,,,,,,,,,,
0,Prevotella,Prevotella copri,,,,,,,,,,,,,,
0,Prevotella,Prevotella multisaccharivorax,,,,,,49.6,,,,,,,,
0,Prevotella,Prevotella multisaccharivorax,,,,,,49.7,,,,,,,,
0,Prevotella,Prevotella multisaccharivorax,,,,,,48.5,,,,,,,,
0,Prevotella,Prevotella multisaccharivorax,,,,,,49.3,,,,,,,,
0,Prevotella,Prevotella multisaccharivorax,,,,,,49.7,,,,,,,,
0,Prevotella,Prevotella multiformis,,,,,,51.3,,20730.0,243.0,396.0,113.0,,,
0,Prevotella,Prevotella multiformis,,,,,,51.2,,20730.0,243.0,396.0,113.0,,,
0,Prevotella,Prevotella multiformis,,,,,,51.2,,20730.0,243.0,396.0,113.0,,,
0,Prevotella,Prevotella lascolaii,"[1776379, 1776379]",,,,,,,15482.0,96.0,295.0,53.0,,,
0,Prevotella,Prevotella sp.,,,,,,,,28989.0,427.0,420.0,202.0,,,
0,Prevotella,Prevotella cerevisiae,,,,30,,45.3,,884.0,62.0,303.0,84.0,,,
0,Prevotella,Prevotella copri,"[165179, 165179, 1280]",,,,,,,,,,,,,
0,Prevotella,Prevotella sp.,,,,,,,,,,,,,,
0,Prevotella,Prevotella sp.,"[2606637, 2606637, 244328]",,,37,,49.9,,3069.0,19.0,10.0,28.0,,,
0,Prevotella,Prevotella vespertina,2608404,,,,,,,,,,,,,
0,Prevotella,Prevotella cerevisiae,"[2053716, 1313]",no,negative,30,,45,obligate anaerobe,884.0,62.0,303.0,84.0,,,
0,Prevotella,Prevotella phocaeensis,,,,,,,,8281.0,96.0,69.0,42.0,,,
0,Prevotella,Prevotella rara,"[1676614, 1676614]",['no'],['negative'],32-42,37,"['45.7', '45.7']",obligate anaerobe,9960.0,143.0,448.0,33.0,,,
0,Prevotella,Prevotella pectinovora,"[1602169, 1602169]",,,,,,,,,,,,,
0,Prevotella,Prevotella baroniae,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella sp.,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella disiens,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella buccae,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella oralis,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella nanceiensis,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella oralis,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella nanceiensis,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella melaninogenica,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella disiens,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella sp.,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella disiens,"[866771, 1280]",,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella timonensis,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella micans,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella oulorum,"[1236497, 28136, 1236497, 28136, 1236497, 28136, 90371, 1639]",,,37,,45.1,anaerobe,,,,,,,
0,Prevotella,Prevotella timonensis,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella timonensis,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella timonensis,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella nanceiensis,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella nanceiensis,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella melaninogenica,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella sp.,,,,,,,anaerobe,,,,,,,
0,Prevotella,Prevotella bivia,,,,,,,anaerobe,,,,,,,
0,Pseudoprevotella,Pseudoprevotella muciniphila,,,,,,,,,,,,,,
0,Alistipes,Alistipes hominis,,,,,,,,,,,,,,
0,Alistipes,Alistipes sp.,,,,,,,,,,,,,,
0,Alistipes,Alistipes muris,2941326,,,,,,,,,,,,,
0,Alistipes,Alistipes indistinctus,626932,,,,,,,,,,,,,
0,Alistipes,Alistipes communis,"[2585118, 2585118]",,,,,58.4,,78772.0,518.0,1636.0,101.0,,,
0,Alistipes,Alistipes onderdonkii subsp. vulgaris,,,,,,,,177009.0,1356.0,5936.0,565.0,,,
0,Alistipes,Alistipes onderdonkii subsp. vulgaris,"[2585117, 2585117]",,,,,58,,177009.0,1356.0,5936.0,565.0,,,
0,Alistipes,Alistipes onderdonkii subsp. vulgaris,,,,,,,,177009.0,1356.0,5936.0,565.0,,,
0,Alistipes,Alistipes onderdonkii subsp. vulgaris,2585117,,,,,58,,177009.0,1356.0,5936.0,565.0,,,
0,Alistipes,Alistipes onderdonkii subsp. vulgaris,,,,,,,,177009.0,1356.0,5936.0,565.0,,,
0,Alistipes,Alistipes onderdonkii subsp. vulgaris,,,,,,,,177009.0,1356.0,5936.0,565.0,,,
0,Alistipes,Alistipes onderdonkii subsp. vulgaris,,,,,,,,177009.0,1356.0,5936.0,565.0,,,
0,Alistipes,Alistipes onderdonkii subsp. vulgaris,,,,,,,,177009.0,1356.0,5936.0,565.0,,,
0,Alistipes,Alistipes onderdonkii subsp. vulgaris,,,,,,,,177009.0,1356.0,5936.0,565.0,,,
0,Alistipes,Alistipes communis,2585118,,,,,58.6,,78772.0,518.0,1636.0,101.0,,,
0,Alistipes,Alistipes indistinctus,,,,,,,,33414.0,131.0,502.0,73.0,,,
0,Alistipes,Alistipes onderdonkii,,,,,,,,,,,,,,
0,Alistipes,Alistipes communis,"[2585118, 2585118, 2585118]",,,37,,58.5,,78772.0,518.0,1636.0,101.0,,,
0,Alistipes,Alistipes dispar,"[2585119, 2585119, 2585119, 2585119]",,,37,,61.3,,,,,,,,
0,Alistipes,Alistipes onderdonkii subsp. vulgaris,"[2585117, 2585117, 2585117]",,,37,,58,,177009.0,1356.0,5936.0,565.0,,,
0,Alistipes,Alistipes shahii,328814,,,,,,,193058.0,1190.0,3715.0,375.0,,,
0,Alistipes,Alistipes onderdonkii subsp. onderdonkii,,,,,,,,,,,,,,
0,Alistipes,Alistipes onderdonkii subsp. onderdonkii,,,,,,,,,,,,,,
0,Alistipes,Alistipes finegoldii,,,,,,,anaerobe,,,,,,,
0,Alistipes,Alistipes finegoldii,,,,,,,anaerobe,,,,,,,
0,Alistipes,Alistipes onderdonkii,,,,,,,anaerobe,,,,,,,
0,Alistipes,Alistipes onderdonkii,,,,,,,anaerobe,,,,,,,
0,Alistipes,Alistipes finegoldii,,,,,,,,,,,,,,
0,Alistipes,Alistipes sp.,,,,,,,,,,,,,,
0,Alistipes,Alistipes sp.,,,,,,,,,,,,,,
0,Alistipes,Alistipes inops,"[1501391, 1501391]",,,37,,"['56.6', '56.6']",,,,,,,,
0,Alistipes,Alistipes timonensis,1465754,,,,,,anaerobe,14319.0,68.0,72.0,92.0,,,
0,Alistipes,Alistipes ihumii,"[1211813, 1211813, 1211813]",,,37,,"['57.9', '57.9']",,27483.0,90.0,584.0,12.0,,,
0,Alistipes,Alistipes senegalensis,"[1033732, 1033732, 1033732, 1033732]",,,37,,"['58.40', '58.4']",anaerobe,10365.0,54.0,96.0,7.0,,,
0,Alistipes,Alistipes timonensis,"[1033731, 1033731, 1033731, 1033731, 1033731]",,,37,,"['58.82', '58.8']",anaerobe,14319.0,68.0,72.0,92.0,,,
0,Alistipes,Alistipes indistinctus,"[742725, 742725, 742725, 742725]",,negative,37,,"['55.2', '55.2', '54.7']","['anaerobe', 'anaerobe']",33414.0,131.0,502.0,73.0,,,
0,Alistipes,Alistipes shahii,"[717959, 717959]",['no'],"['negative', 'negative']",37,37,"['56', '57.6', '56', '57.2', '56.0']","['anaerobe', 'anaerobe', 'anaerobe', 'anaerobe']",193058.0,1190.0,3715.0,375.0,,,
0,Alistipes,Alistipes onderdonkii subsp. onderdonkii,"[1203611, 1203611, 1203611, 328813, 1653858]",['no'],"['negative', 'negative']",37,37,"['58', '58', '57.8', '58.0']","['anaerobe', 'anaerobe', 'anaerobe', 'anaerobe']",177009.0,1356.0,5936.0,565.0,,,
0,Alistipes,Alistipes finegoldii,"[679935, 679935, 679935]",,['negative'],37,,"['57', '56.6', '57', '57.0']","['anaerobe', 'anaerobe']",,,,,,,
